dep	github.com/spf13/cast	v1.7.1	h1:cuNEagBQEHWN1FnbGEjCXL2szYEXqfJPbP2HNUaca9Y=
dep	github.com/tidwall/gjson	v1.18.0	h1:FIDeeyB800efLX89e5a8Y0BNH+LOngJyGrIWxG2FKQY=
dep	github.com/tidwall/match	v1.2.0	h1:0pt8FlkOwjN2fPt4bIl4BoNxb98gGHN2ObFEDkrfZnM=
dep	github.com/tidwall/pretty	v1.2.1	h1:qjsOFOWWQl+N3RsoF5/ssm1pHmJJwhjlSbZ51I6wMl4=
dep	github.com/tidwall/sjson	v1.2.5	h1:kLy8mja+1c9jlljvWTlSazM7cKDRfJuR/bOJhcY5NcY=
dep	github.com/vmihailenco/msgpack/v5	v5.4.1	h1:cQriyiUvjTwOHg8QZaPihLWeRAAVoCpE00IUPn0Bjt8=
dep	github.com/vmihailenco/tagparser/v2	v2.0.0	h1:y09buUbR+b5aycVFQs/g70pqKVZNBmxwAhO7/IwNM9g=
dep	github.com/wk8/go-ordered-map/v2	v2.1.8	h1:5h/BUHu93oj4gIdvHHHGsScSTMijfx5PeYkE/fJgbpc=
dep	github.com/xhit/go-str2duration/v2	v2.1.0	h1:lxklc02Drh6ynqX+DdPyp5pCKLUQpRT8bp8Ydu2Bstc=
dep	github.com/yosida95/uritemplate/v3	v3.0.2	h1:Ed3Oyj9yrmi9087+NczuL5BwkIc4wvTb5zIM+UJPGz4=
dep	go.opentelemetry.io/collector/semconv	v0.110.0	h1:KHQnOHe3gUz0zsxe8ph9kN5OTypCFD4V+06AiBTfeNk=
dep	go.opentelemetry.io/otel	v1.31.0	h1:NsJcKPIW0D0H3NgzPDHmo0WW6SptzPdqg/L1zsIm2hY=
dep	go.opentelemetry.io/otel/metric	v1.31.0	h1:FSErL0ATQAmYHUIzSezZibnyVlft1ybhy4ozRPcF2fE=
dep	go.opentelemetry.io/otel/trace	v1.31.0	h1:ffjsj1aRouKewfr85U2aGagJ46+MvodynlQ1HYdmJys=
dep	go.opentelemetry.io/proto/otlp	v1.3.1	h1:TrMUixzpM0yuc/znrFTP9MMRh8trP93mkCiDVeXrui0=
dep	go.uber.org/atomic	v1.11.0	h1:ZvwS0R+56ePWxUNi+Atn9dWONBPp/AUETXlHW0DxSjE=
dep	go.uber.org/multierr	v1.11.0	h1:blXXJkSxSSfBVBlC76pxqeO+LN3aDfLQo+309xJstO0=
dep	go.uber.org/zap	v1.27.0	h1:aJMhYGrd5QSmlpLMr2MftRKl7t8J8PTZPA732ud/XR8=
dep	go4.org/intern	v0.0.0-20211027215823-ae77deb06f29	h1:UXLjNohABv4S58tHmeuIZDO6e3mHpW2Dx33gaNt03LE=
dep	go4.org/unsafe/assume-no-moving-gc	v0.0.0-20230525183740-e7c30c78aeb2	h1:WJhcL4p+YeDxmZWg141nRm7XC8IDmhz7lk5GpadO1Sg=
dep	golang.org/x/crypto	v0.40.0	h1:r4x+VvoG5Fm+eJcxMaY8CQM7Lb0l1lsmjGBQ6s8BfKM=
