golang.org/x/crypto	v0.40.0	GO-2026-5016	CVE-2026-39827		2026-05-22	2026-05-27	Invoking memory leak when rejecting channels can lead to DoS in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5017	CVE-2026-39830		2026-05-22	2026-05-27	Invoking client can cause server deadlock on unexpected responses in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5018	CVE-2026-39829		2026-05-22	2026-05-27	Invoking pathological RSA/DSA parameters may cause DoS in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5019	CVE-2026-39831		2026-05-22	2026-05-27	Invoking bypass of FIDO/U2F security keys physical interaction in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5020	CVE-2026-39834		2026-05-22	2026-05-27	Invoking infinite loop on large channel writes in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5021	CVE-2026-42508		2026-05-22	2026-05-29	Invoking auth bypass via unenforced @revoked status in golang.org/x/crypto/ssh/knownhosts
golang.org/x/crypto	v0.40.0	GO-2026-5023	CVE-2026-46595		2026-05-22	2026-05-27	Invoking VerifiedPublicKeyCallback permissions skip enforcement in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5033	CVE-2026-46598		2026-05-22	2026-05-27	Invoking pathological inputs can lead to client panic in golang.org/x/crypto/ssh/agent
golang.org/x/net	v0.41.0	GO-2026-4440	CVE-2025-47911, GHSA-w4gw-w5jq-g9jh		2026-02-05	2026-05-15	Quadratic parsing complexity in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-4441	CVE-2025-58190		2026-02-05	2026-05-15	Infinite parsing loop in golang.org/x/net
golang.org/x/net	v0.41.0	GO-2026-4918	BIT-golang-2026-33814, CVE-2026-33814		2026-05-07	2026-05-11	Infinite loop in HTTP/2 transport when given bad SETTINGS_MAX_FRAME_SIZE in net/http/internal/http2 in golang.org/x/net
golang.org/x/net	v0.41.0	GO-2026-5025	CVE-2026-42506		2026-05-22	2026-05-30	Invoking incorrect handling of namespaced elements in foreign content in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5026	CVE-2026-39821		2026-05-22	2026-06-04	Invoking failure to reject ASCII-only Punycode-encoded labels in golang.org/x/net/idna
golang.org/x/net	v0.41.0	GO-2026-5027	CVE-2026-42502		2026-05-22	2026-05-30	Invoking incorrect handling of HTML elements in foreign content in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5028	CVE-2026-25680		2026-05-22	2026-05-30	Invoking denial of service when parsing arbitrary HTML in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5029	CVE-2026-25681		2026-05-22	2026-05-30	Invoking incorrect handling of character references in DOCTYPE nodes in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5030	CVE-2026-27136		2026-05-22	2026-05-30	Invoking duplicate attributes can cause XSS in golang.org/x/net/html
golang.org/x/sys	v0.34.0	GO-2026-5024	CVE-2026-39824		2026-05-22	2026-06-09	Invoking integer overflow in NewNTUnicodeString in golang.org/x/sys/windows
google.golang.org/grpc	v1.67.1	GHSA-p77j-4mvh-x3m3	CVE-2026-33186, GO-2026-4762	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N, GHSA:CRITICAL	2026-03-18	2026-03-27	gRPC-Go has an authorization bypass via missing leading slash in :path
google.golang.org/grpc	v1.67.1	GO-2026-4762	CVE-2026-33186, GHSA-p77j-4mvh-x3m3		2026-03-27	2026-03-30	Authorization bypass in gRPC-Go via missing leading slash in :path in google.golang.org/grpc
