source	line	category	kind	methods	path	registration
coroot-src/main.go	212	api_or_http_route	PathPrefix	*	/api/project/{project}/prom/api/v1/{rest:.+}	r.PathPrefix("/api/project/{project}/prom/api/v1/{rest:.+}").HandlerFunc(a.Auth(a.Prom))
coroot-src/main.go	214	api_or_http_route	HandleFunc	Get	/.well-known/oauth-protected-resource	r.HandleFunc("/.well-known/oauth-protected-resource", a.MCPOAuthProtectedResource).Methods(http.MethodGet)
coroot-src/main.go	215	api_or_http_route	HandleFunc	Get	/.well-known/oauth-authorization-server	r.HandleFunc("/.well-known/oauth-authorization-server", a.MCPOAuthAuthorizationServer).Methods(http.MethodGet)
coroot-src/main.go	216	api_or_http_route	HandleFunc	Post	/oauth/register	r.HandleFunc("/oauth/register", a.MCPOAuthRegister).Methods(http.MethodPost)
coroot-src/main.go	217	api_or_http_route	HandleFunc	Get,Post	/oauth/authorize	r.HandleFunc("/oauth/authorize", a.MCPOAuthAuthorize).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	218	api_or_http_route	HandleFunc	Post	/oauth/token	r.HandleFunc("/oauth/token", a.MCPOAuthToken).Methods(http.MethodPost)
coroot-src/main.go	219	api_or_http_route	HandleFunc	Post	/oauth/revoke	r.HandleFunc("/oauth/revoke", a.MCPOAuthRevoke).Methods(http.MethodPost)
coroot-src/main.go	220	api_or_http_route	PathPrefix	*	/mcp	r.PathPrefix("/mcp").Handler(a.SetupMCP(api.MCPInstructions).HTTPHandler())
coroot-src/main.go	222	api_or_http_route	HandleFunc	*	/api/v1/query_range	r.HandleFunc("/api/v1/query_range", a.ApiKeyAuth(a.PrometheusQueryRange))
coroot-src/main.go	223	api_or_http_route	HandleFunc	*	/api/v1/series	r.HandleFunc("/api/v1/series", a.ApiKeyAuth(a.PrometheusSeries))
coroot-src/main.go	224	api_or_http_route	HandleFunc	*	/api/v1/metadata	r.HandleFunc("/api/v1/metadata", a.ApiKeyAuth(a.PrometheusMetricMetadata))
coroot-src/main.go	225	api_or_http_route	HandleFunc	*	/api/v1/label/{labelName}/values	r.HandleFunc("/api/v1/label/{labelName}/values", a.ApiKeyAuth(a.PrometheusLabelValues))
coroot-src/main.go	227	api_or_http_route	HandleFunc	Get	/api/clickhouse-config	r.HandleFunc("/api/clickhouse-config", a.ApiKeyAuth(a.ClickhouseConfig)).Methods(http.MethodGet)
coroot-src/main.go	228	api_or_http_route	HandleFunc	Connect	/api/clickhouse-connect	r.HandleFunc("/api/clickhouse-connect", a.ClickhouseConnect).Methods(http.MethodConnect)
coroot-src/main.go	230	api_or_http_route	HandleFunc	Post	/stats	r.HandleFunc("/stats", func(w http.ResponseWriter, r *http.Request) {
coroot-src/main.go	233	api_or_http_route	HandleFunc	Get	/stats	r.HandleFunc("/stats", func(w http.ResponseWriter, r *http.Request) {
coroot-src/main.go	238	static_asset	PathPrefix	*	/static/	r.PathPrefix("/static/").Handler(http.StripPrefix(cfg.UrlBasePath+"static/", http.FileServer(http.Dir("./static"))))
coroot-src/main.go	240	static_asset	PathPrefix	*	/static/	r.PathPrefix("/static/").Handler(http.StripPrefix(cfg.UrlBasePath, http.FileServer(utils.NewStaticFSWrapper(static))))
